Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
1.11774,0,0,0,0,1.47207,-2.43936,1.50474,-0.333178,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.00571,0.25,0.388456,-0.00603389,-0.0704128,-0.628136,1.00499,-0.530188,0.0905767,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.06109,0.5,0.13063,0.0136247,0.0244903,0.459159,-0.736463,0.425958,-0.087561,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.16594,0.75,0.331457,0.0212242,-0.0257762,0.0601003,-0.481636,0.480355,-0.138102,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.13704,1,-0.0120241,-0.145943,0.00183891,-1.00633,2.03545,-1.42844,0.345975,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.991669,0.75,-0.298363,-0.030111,-0.0165478,0.432491,-0.531542,0.208675,-0.0162477,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0665,0.5,-0.197471,-0.0112388,-0.00811813,-0.364625,0.772725,-0.571868,0.146744,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.995314,0.25,-0.242608,0.00228077,-0.00404425,-0.698773,1.76714,-1.51774,0.442724,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.995314,0,-0.21692,-9.23136e-16,-0.0029404,-0.818184,1.90615,-1.5598,0.440557,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0665,-0.25,-0.242608,-0.00175153,-0.00404425,-0.332876,0.88658,-0.755647,0.213441,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.02313,-0.5,-0.197471,-0.0112388,-0.00811813,-0.107396,0.0923408,0.00618886,-0.0174199,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.14803,-0.75,-0.298363,-0.030111,-0.0165478,-0.375702,1.25485,-1.07322,0.290864,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.16594,-1,0.0120241,0.145943,0.0032511,0.461691,-0.846877,0.540029,-0.120416,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.06109,-0.75,0.331457,0.0212242,-0.0257762,-0.340468,0.296411,0.00157311,-0.0423628,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.00571,-0.5,0.13063,0.0136247,0.0244903,0.297429,-0.217005,-0.0616449,0.0602583,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.11774,-0.25,0.388456,0.0410818,-0.0704128,-0.034486,-0.58734,0.765314,-0.252824,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
